ID;Year_Birth;Education;Marital_Status;Income;Kid_Home;Teen_Home;Total_Children;Days_Since_Last_Purchase;start_membership;Days_Since_Join;Amt_Wines;Amt_Fruits;Amt_Meat_Products;Amt_Fish_Products;Amt_Sweet_Products;Amt_Gold_Products;Total_Spend;Spend_Income_Ratio;Age;Num_Deals_Purchases;Num_Web_Purchases;Num_Catalog_Purchases;Num_Store_Purchases;Total_Purchases;NumWebVisitsMonth;Accepted_Cmp_1;Accepted_Cmp_2;Accepted_Cmp_3;Accepted_Cmp_4;Accepted_Cmp_5;Accepted_Last_Cmp;Complain
5524;1957;3;1;58138.0;0;0;0;58;2012-09-04;4789;635;88;546;172;88;88;1617;0.027813134266744644;68;3;8;10;4;25;7;0;0;0;0;0;1;0
2174;1954;3;1;46344.0;1;1;2;38;2014-03-08;4239;11;1;6;2;1;6;27;0.0005825996892801658;71;2;1;1;2;6;5;0;0;0;0;0;0;0
4141;1965;3;3;71613.0;0;0;0;26;2013-08-21;4438;426;49;127;111;21;42;776;0.010836021392763883;60;1;8;2;10;21;4;0;0;0;0;0;0;0
6182;1984;3;3;26646.0;1;0;1;26;2014-02-10;4265;11;4;20;10;3;5;53;0.0019890415071680554;41;2;2;0;4;8;6;0;0;0;0;0;0;0
5324;1981;5;2;58293.0;1;0;1;94;2014-01-19;4287;173;43;118;46;27;15;422;0.007239291167035493;44;5;5;3;6;19;5;0;0;0;0;0;0;0
7446;1967;4;3;62513.0;0;1;1;16;2013-09-09;4419;520;42;98;0;42;14;716;0.011453617647529314;58;2;6;4;10;22;6;0;0;0;0;0;0;0
965;1971;3;4;55635.0;0;1;1;34;2012-11-13;4719;235;65;164;50;49;27;590;0.010604835085827267;54;4;7;3;7;21;6;0;0;0;0;0;0;0
6177;1985;5;2;33454.0;1;0;1;32;2013-05-08;4543;76;10;56;3;1;23;169;0.0050517127996652115;40;2;4;0;4;10;8;0;0;0;0;0;0;0
4855;1974;5;3;30351.0;1;0;1;19;2013-06-06;4514;14;0;24;3;3;2;46;0.001515600803927383;51;1;3;0;2;6;9;0;0;0;0;0;1;0
5899;1950;5;3;5648.0;1;1;2;68;2014-03-13;4234;28;0;6;1;1;13;49;0.008675637393767706;75;1;1;0;0;2;20;0;0;1;0;0;0;0
1994;1983;3;2;52332.0;1;0;1;11;2013-11-15;4352;5;5;6;0;2;1;19;0.00036306657494458456;42;1;1;0;2;4;7;0;0;0;0;0;0;0
387;1976;1;2;7500.0;0;0;0;59;2012-11-13;4719;6;16;11;11;1;16;61;0.008133333333333333;49;1;2;0;3;6;8;0;0;0;0;0;0;0
2125;1959;3;4;63033.0;0;0;0;82;2013-11-15;4352;194;61;480;225;112;30;1102;0.01748290577951232;66;1;3;4;8;16;2;0;0;0;0;0;0;0
8180;1952;4;4;59354.0;1;1;2;53;2013-11-15;4352;233;2;53;3;5;14;310;0.005222899888802777;73;3;6;1;5;15;6;0;0;0;0;0;0;0
2569;1987;3;2;17323.0;0;0;0;38;2012-10-10;4753;3;14;17;6;1;5;46;0.0026554291981758355;38;1;1;0;3;5;8;0;0;0;0;0;0;0
2114;1946;5;1;82800.0;0;0;0;23;2012-11-24;4708;1006;22;115;59;68;45;1315;0.015881642512077295;79;1;7;6;12;26;3;1;0;0;0;1;1;0
9736;1980;3;2;41850.0;1;1;2;51;2012-12-24;4678;53;5;19;2;13;4;96;0.0022939068100358423;45;3;3;0;3;9;8;0;0;0;0;0;0;0
4939;1946;3;3;37760.0;0;0;0;20;2012-08-31;4793;84;5;38;150;12;28;317;0.008395127118644067;79;2;4;1;6;13;7;0;0;0;0;0;0;0
6565;1949;4;2;76995.0;0;1;1;91;2013-03-28;4584;1012;80;498;0;16;176;1782;0.023144360023378142;76;2;11;4;9;26;5;1;0;0;0;0;0;0
2278;1985;2;1;33812.0;1;0;1;86;2012-11-03;4729;4;17;19;30;24;39;133;0.003933514728498758;40;2;2;1;3;8;6;0;0;0;0;0;0;0
9360;1982;3;2;37040.0;0;0;0;41;2012-08-08;4816;86;2;73;69;38;48;316;0.008531317494600432;43;1;4;2;5;12;8;0;0;0;0;0;0;0
5376;1979;3;2;2447.0;1;0;1;42;2013-01-06;4665;1;1;1725;1;1;1;1730;0.7069881487535759;46;15;0;28;0;43;1;0;0;0;0;0;0;0
1993;1949;5;2;58607.0;0;1;1;63;2012-12-23;4679;867;0;86;0;0;19;972;0.01658504956745781;76;3;2;3;9;17;8;0;0;0;1;0;0;0
4047;1954;5;2;65324.0;0;1;1;0;2014-01-11;4295;384;0;102;21;32;5;544;0.008327720286571551;71;3;6;2;9;20;4;0;0;0;0;0;0;0
1409;1951;3;3;40689.0;0;1;1;69;2013-03-18;4594;270;3;27;39;6;99;444;0.010912040109120402;74;7;7;1;5;20;8;0;0;0;0;0;0;0
7892;1969;3;1;18589.0;0;0;0;89;2013-01-02;4669;6;4;25;15;12;13;75;0.004034644144386465;56;2;2;1;3;8;7;0;0;0;0;0;0;0
2404;1976;3;2;53359.0;1;1;2;4;2013-05-27;4524;173;4;30;3;6;41;257;0.004816432092055698;49;4;5;1;4;14;7;0;0;0;0;0;0;0
5255;1986;3;1;52332.0;1;0;1;19;2013-02-20;4620;5;1;3;3;263;362;637;0.012172284644194757;39;0;27;0;0;27;1;0;0;0;0;0;0;0
9422;1989;3;2;38360.0;1;0;1;26;2013-05-31;4520;36;2;42;20;21;10;131;0.0034150156412930135;36;2;2;1;4;9;3;0;0;0;0;0;0;0
1966;1965;5;2;84618.0;0;0;0;96;2013-11-22;4345;684;100;801;21;66;0;1672;0.019759389255241202;60;1;6;9;10;26;2;0;0;0;0;1;0;0
6864;1989;4;4;10979.0;0;0;0;34;2014-05-22;4164;8;4;10;2;2;4;30;0.0027324892977502505;36;2;3;0;3;8;5;0;0;0;0;0;0;0
3033;1963;4;3;38620.0;0;0;0;56;2013-05-11;4540;112;17;44;34;22;89;318;0.008234075608493008;62;1;2;5;3;11;3;0;0;0;0;0;0;0
5710;1970;3;3;40548.0;0;1;1;31;2012-10-10;4753;110;0;5;2;0;3;120;0.002959455460195324;55;2;2;1;4;9;5;0;0;0;1;0;0;0
7373;1952;5;4;46610.0;0;2;2;8;2012-10-29;4734;96;12;96;33;22;43;302;0.00647929628835014;73;6;4;1;6;17;6;0;0;0;0;0;1;0
8755;1946;4;2;68657.0;0;0;0;4;2013-02-20;4620;482;34;471;119;68;22;1196;0.01741992804812328;79;1;3;5;9;18;7;0;0;0;0;0;0;0
10738;1951;4;1;49389.0;1;1;2;55;2013-08-29;4430;40;0;19;2;1;3;65;0.0013160825284982485;74;1;2;0;3;6;7;0;0;0;0;0;0;0
4339;1970;5;2;67353.0;0;1;1;37;2013-12-31;4306;702;17;151;0;8;35;913;0.013555446676465785;55;5;5;6;12;28;2;0;0;0;0;0;0;0
10755;1976;2;2;23718.0;1;0;1;76;2013-09-02;4426;6;3;14;15;7;36;81;0.0034151277510751326;49;3;3;1;2;9;7;0;0;0;0;0;0;0
8595;1973;3;6;42429.0;0;1;1;99;2014-02-11;4264;55;0;6;2;0;4;67;0.0015791086285323716;52;2;1;1;3;7;5;0;0;0;0;0;0;0
2968;1943;5;4;48948.0;0;0;0;53;2013-02-01;4639;437;8;206;160;49;42;902;0.01842771921222522;82;2;7;10;5;24;6;0;0;1;0;0;1;0
8601;1980;3;2;80011.0;0;1;1;3;2013-04-29;4552;421;76;536;82;178;102;1395;0.01743510267338241;45;2;8;6;5;21;4;0;0;0;0;0;0;0
503;1985;4;2;20559.0;1;0;1;88;2013-03-12;4600;13;1;29;3;0;7;53;0.0025779463981711174;40;2;2;0;3;7;8;0;0;0;0;0;0;0
8430;1957;3;3;21994.0;0;1;1;4;2012-12-24;4678;9;0;6;3;1;3;22;0.0010002728016731835;68;1;0;0;3;4;5;0;0;0;0;0;0;0
7281;1959;5;1;55012.0;0;0;0;80;2013-11-05;4362;81;11;50;3;2;39;186;0.003381080491529121;66;1;1;3;4;9;2;0;0;0;0;0;0;0
2139;1975;4;2;7500.0;1;0;1;19;2013-10-02;4396;3;1;10;3;2;12;31;0.0041333333333333335;50;3;2;0;3;8;5;0;0;0;0;0;0;0
1371;1976;3;1;79941.0;0;0;0;72;2014-06-28;4127;123;164;266;227;30;174;984;0.012309077944984426;49;1;2;4;9;16;1;0;0;0;0;0;0;0
9909;1996;2;2;7500.0;0;0;0;24;2012-11-09;4723;3;18;14;15;22;50;122;0.016266666666666665;29;3;3;1;3;10;9;0;0;0;0;0;1;0
7286;1968;3;3;41728.0;1;0;1;92;2013-05-24;4527;13;6;15;3;5;13;55;0.0013180598159509202;57;1;2;0;2;5;10;0;0;0;0;0;0;0
7244;1951;3;1;52332.0;2;1;3;96;2014-01-01;4305;48;5;48;6;10;7;124;0.002369487120690973;74;3;2;1;4;10;6;0;0;0;0;0;0;0
6566;1954;5;2;72550.0;1;1;2;39;2012-11-08;4724;826;50;317;50;38;38;1319;0.01818056512749828;71;9;5;2;12;28;8;0;0;0;0;0;0;0
