ID;Year_Birth;Education;Marital_Status;Income;Kid_Home;Teen_Home;Total_Children;Days_Since_Last_Purchase;start_membership;Days_Since_Join;Amt_Wines;Amt_Fruits;Amt_Meat_Products;Amt_Fish_Products;Amt_Sweet_Products;Amt_Gold_Products;Total_Spend;Spend_Income_Ratio;Age;Num_Deals_Purchases;Num_Web_Purchases;Num_Catalog_Purchases;Num_Store_Purchases;Total_Purchases;NumWebVisitsMonth;Accepted_Cmp_1;Accepted_Cmp_2;Accepted_Cmp_3;Accepted_Cmp_4;Accepted_Cmp_5;Accepted_Last_Cmp;Complain;is_couple;family_size;is_parent;education2_encoded;Avg_Purchase_Value;Web_Preference;Total_Accepted_Campaigns;Deal_Seeker;Cluster
5524;1957;3;1;58138.0;0;0;0;58;2012-09-04;1213;635;88;546;172;88;88;1617;0.0278131342667446;58;3;8;10;4;25;7;0;0;0;0;0;1;0;0;1;0;1;62.19230769230769;0.3076923076923077;1;1;1
2174;1954;3;1;46344.0;1;1;2;38;2014-03-08;663;11;1;6;2;1;6;27;0.0005825996892801;61;2;1;1;2;6;5;0;0;0;0;0;0;0;0;3;1;1;3.857142857142857;0.1428571428571428;0;0;2
4141;1965;3;3;71613.0;0;0;0;26;2013-08-21;862;426;49;127;111;21;42;776;0.0108360213927638;50;1;8;2;10;21;4;0;0;0;0;0;0;0;1;2;0;1;35.27272727272727;0.3636363636363636;0;0;1
6182;1984;3;3;26646.0;1;0;1;26;2014-02-10;689;11;4;20;10;3;5;53;0.001989041507168;31;2;2;0;4;8;6;0;0;0;0;0;0;0;1;3;1;1;5.888888888888889;0.2222222222222222;0;0;2
5324;1981;5;2;58293.0;1;0;1;94;2014-01-19;711;173;43;118;46;27;15;422;0.0072392911670354;34;5;5;3;6;19;5;0;0;0;0;0;0;0;1;3;1;2;21.1;0.25;0;1;0
7446;1967;4;3;62513.0;0;1;1;16;2013-09-09;843;520;42;98;0;42;14;716;0.0114536176475293;48;2;6;4;10;22;6;0;0;0;0;0;0;0;1;3;1;2;31.130434782608692;0.2608695652173913;0;0;0
965;1971;3;4;55635.0;0;1;1;34;2012-11-13;1143;235;65;164;50;49;27;590;0.0106048350858272;44;4;7;3;7;21;6;0;0;0;0;0;0;0;0;2;1;1;26.818181818181817;0.3181818181818182;0;1;0
6177;1985;5;2;33454.0;1;0;1;32;2013-05-08;967;76;10;56;3;1;23;169;0.0050517127996652;30;2;4;0;4;10;8;0;0;0;0;0;0;0;1;3;1;2;15.363636363636363;0.3636363636363636;0;0;2
4855;1974;5;3;30351.0;1;0;1;19;2013-06-06;938;14;0;24;3;3;2;46;0.0015156008039273;41;1;3;0;2;6;9;0;0;0;0;0;1;0;1;3;1;2;6.571428571428571;0.4285714285714285;1;0;2
5899;1950;5;3;5648.0;1;1;2;68;2014-03-13;658;28;0;6;1;1;13;49;0.0086756373937677;65;1;1;0;0;2;20;0;0;1;0;0;0;0;1;4;1;2;16.333333333333332;0.3333333333333333;1;0;2
1994;1983;3;2;52332.0;1;0;1;11;2013-11-15;776;5;5;6;0;2;1;19;0.0003630665749445;32;1;1;0;2;4;7;0;0;0;0;0;0;0;1;3;1;1;3.8;0.2;0;0;2
387;1976;1;2;7500.0;0;0;0;59;2012-11-13;1143;6;16;11;11;1;16;61;0.0081333333333333;39;1;2;0;3;6;8;0;0;0;0;0;0;0;1;2;0;0;8.714285714285714;0.2857142857142857;0;0;2
2125;1959;3;4;63033.0;0;0;0;82;2013-11-15;776;194;61;480;225;112;30;1102;0.0174829057795123;56;1;3;4;8;16;2;0;0;0;0;0;0;0;0;1;0;1;64.82352941176471;0.1764705882352941;0;0;1
8180;1952;4;4;59354.0;1;1;2;53;2013-11-15;776;233;2;53;3;5;14;310;0.0052228998888027;63;3;6;1;5;15;6;0;0;0;0;0;0;0;0;3;1;2;19.375;0.375;0;1;0
2569;1987;3;2;17323.0;0;0;0;38;2012-10-10;1177;3;14;17;6;1;5;46;0.0026554291981758;28;1;1;0;3;5;8;0;0;0;0;0;0;0;1;2;0;1;7.666666666666667;0.1666666666666666;0;0;2
2114;1946;5;1;82800.0;0;0;0;23;2012-11-24;1132;1006;22;115;59;68;45;1315;0.0158816425120772;69;1;7;6;12;26;3;1;0;0;0;1;1;0;0;1;0;2;48.7037037037037;0.2592592592592592;3;0;1
9736;1980;3;2;41850.0;1;1;2;51;2012-12-24;1102;53;5;19;2;13;4;96;0.0022939068100358;35;3;3;0;3;9;8;0;0;0;0;0;0;0;1;4;1;1;9.6;0.3;0;1;2
4939;1946;3;3;37760.0;0;0;0;20;2012-08-31;1217;84;5;38;150;12;28;317;0.008395127118644;69;2;4;1;6;13;7;0;0;0;0;0;0;0;1;2;0;1;22.642857142857142;0.2857142857142857;0;0;0
6565;1949;4;2;76995.0;0;1;1;91;2013-03-28;1008;1012;80;498;0;16;176;1782;0.0231443600233781;66;2;11;4;9;26;5;1;0;0;0;0;0;0;1;3;1;2;66.0;0.4074074074074074;1;0;0
2278;1985;2;1;33812.0;1;0;1;86;2012-11-03;1153;4;17;19;30;24;39;133;0.0039335147284987;30;2;2;1;3;8;6;0;0;0;0;0;0;0;0;2;1;0;14.77777777777778;0.2222222222222222;0;0;2
9360;1982;3;2;37040.0;0;0;0;41;2012-08-08;1240;86;2;73;69;38;48;316;0.0085313174946004;33;1;4;2;5;12;8;0;0;0;0;0;0;0;1;2;0;1;24.307692307692307;0.3076923076923077;0;0;2
5376;1979;3;2;2447.0;1;0;1;42;2013-01-06;1089;1;1;1725;1;1;1;1730;0.7069881487535759;36;15;0;28;0;43;1;0;0;0;0;0;0;0;1;3;1;1;39.31818181818182;0.0;0;1;1
1993;1949;5;2;58607.0;0;1;1;63;2012-12-23;1103;867;0;86;0;0;19;972;0.0165850495674578;66;3;2;3;9;17;8;0;0;0;1;0;0;0;1;3;1;2;54.0;0.1111111111111111;1;1;0
4047;1954;5;2;65324.0;0;1;1;0;2014-01-11;719;384;0;102;21;32;5;544;0.0083277202865715;61;3;6;2;9;20;4;0;0;0;0;0;0;0;1;3;1;2;25.904761904761905;0.2857142857142857;0;1;0
1409;1951;3;3;40689.0;0;1;1;69;2013-03-18;1018;270;3;27;39;6;99;444;0.0109120401091204;64;7;7;1;5;20;8;0;0;0;0;0;0;0;1;3;1;1;21.142857142857142;0.3333333333333333;0;1;0
7892;1969;3;1;18589.0;0;0;0;89;2013-01-02;1093;6;4;25;15;12;13;75;0.0040346441443864;46;2;2;1;3;8;7;0;0;0;0;0;0;0;0;1;0;1;8.333333333333334;0.2222222222222222;0;0;2
2404;1976;3;2;53359.0;1;1;2;4;2013-05-27;948;173;4;30;3;6;41;257;0.0048164320920556;39;4;5;1;4;14;7;0;0;0;0;0;0;0;1;4;1;1;17.133333333333333;0.3333333333333333;0;1;0
5255;1986;3;1;52332.0;1;0;1;19;2013-02-20;1044;5;1;3;3;263;362;637;0.0121722846441947;29;0;27;0;0;27;1;0;0;0;0;0;0;0;0;2;1;1;22.75;0.9642857142857144;0;0;0
