;PC1;PC2;PC3
Income;0.35419571274399114;0.19728731740403188;-0.23787103474068322
Age;0.05145640703983567;0.21824072141778542;-0.2559215496437066
Total_Spend;0.40357864792640497;0.21809184636739032;0.0022823964318008927
Days_Since_Last_Purchase;-0.0012147626524447955;0.028454782001313746;-0.019159997638196057
Days_Since_Join;0.027710684847553034;0.2314504532927527;0.4738015119307373
Total_Purchases;0.2871958018804963;0.42316089165796056;0.08681310855658866
Avg_Purchase_Value;0.3578366890922153;0.11563877269195111;-0.01992062571172258
Spend_Income_Ratio;0.20381252280748519;0.20977669632437376;0.11981762184645274
NumWebVisitsMonth;-0.30278142508377637;0.09672613208464531;0.4123126328799848
Web_Preference;0.02268007626205273;0.23099201633534774;0.3088292965002818
Deal_Seeker;-0.13087435500781247;0.441396380320198;0.2087184380554785
Total_Children;-0.3462362203166459;0.2848950301519866;-0.16688887593638735
family_size;-0.31767751628351437;0.33091520862801593;-0.32340806478539497
is_parent;-0.34855514078818844;0.25877959256582844;-0.03771796084275916
is_couple;-0.059483536323132274;0.1802475066214039;-0.350291761617793
education2_encoded;0.03221657094511962;0.16550473627767415;-0.2554593313171712
